side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
1,2021-04-14 12:55:00,2021-04-14 12:55:00,33701.7,33690.66428571428,sl,-325.03377701692375,0,A_5m_30m_1h,long
1,2021-04-14 13:40:00,2021-04-14 13:45:00,33680.7,33667.30714285714,sl,-321.7834392467545,1,A_5m_30m_1h,long
1,2021-04-14 18:10:00,2021-04-14 20:00:00,33905.7,33864.34285714285,sl,-318.56560485428696,22,A_5m_30m_1h,long
1,2021-04-14 20:10:00,2021-04-14 20:35:00,33875.2,33849.485714285714,sl,-315.37994880574405,5,A_5m_30m_1h,long
1,2021-04-15 02:20:00,2021-04-15 02:35:00,33782.2,33773.09285714285,sl,-312.22614931768663,3,A_5m_30m_1h,long
1,2021-04-15 04:15:00,2021-04-15 04:40:00,33806.2,33785.146428571425,sl,-309.10388782450974,5,A_5m_30m_1h,long
1,2021-04-15 05:00:00,2021-04-15 06:15:00,33794.2,33773.03928571428,sl,-306.0128489462646,15,A_5m_30m_1h,long
1,2021-04-15 06:50:00,2021-04-15 08:10:00,33787.7,33810.825,tp,504.9212007613367,16,A_5m_30m_1h,long
1,2021-04-15 08:50:00,2021-04-15 09:15:00,33801.2,33821.46785714285,tp,513.3365541071746,5,A_5m_30m_1h,long
1,2021-04-15 11:05:00,2021-04-15 13:15:00,33857.2,33888.896428571425,tp,521.8921633425184,26,A_5m_30m_1h,long
1,2021-04-15 14:45:00,2021-04-15 15:15:00,33883.7,33904.50357142857,tp,530.590366064792,6,A_5m_30m_1h,long
1,2021-04-15 16:15:00,2021-04-15 16:30:00,33890.2,33927.87857142857,tp,539.4335388325657,3,A_5m_30m_1h,long
1,2021-04-15 18:00:00,2021-04-15 22:45:00,33994.7,34065.860714285714,tp,548.4240978131805,57,A_5m_30m_1h,long
1,2021-04-16 01:15:00,2021-04-16 03:00:00,34046.7,34024.30714285714,sl,-334.53869966601764,21,A_5m_30m_1h,long
1,2021-04-16 05:50:00,2021-04-16 08:45:00,34006.7,34029.28928571428,tp,551.9888544488106,35,A_5m_30m_1h,long
1,2021-04-16 09:50:00,2021-04-16 10:00:00,34008.7,33994.34285714285,sl,-336.7132012138456,2,A_5m_30m_1h,long
1,2021-04-16 11:40:00,2021-04-16 12:30:00,34029.7,34060.771428571425,tp,555.5767820028886,10,A_5m_30m_1h,long
1,2021-04-16 13:30:00,2021-04-16 14:05:00,34088.2,34068.96785714285,sl,-338.901837021736,7,A_5m_30m_1h,long
1,2021-04-16 14:15:00,2021-04-16 15:00:00,34079.2,34101.43214285714,tp,559.1880310860474,9,A_5m_30m_1h,long
1,2021-04-16 15:50:00,2021-04-16 16:05:00,34098.7,34125.03928571428,tp,568.5078316038606,3,A_5m_30m_1h,long
1,2021-04-16 17:20:00,2021-04-16 17:25:00,34205.7,34154.646428571425,sl,-346.7897772784178,1,A_5m_30m_1h,long
1,2021-04-16 17:40:00,2021-04-16 18:40:00,34183.2,34128.021428571425,sl,-343.32187950563355,12,A_5m_30m_1h,long
1,2021-04-16 18:50:00,2021-04-16 20:00:00,34145.7,34113.396428571425,sl,-339.88866071057726,14,A_5m_30m_1h,long
1,2021-04-16 20:15:00,2021-04-16 21:05:00,34129.7,34160.95,tp,560.8162901724525,10,A_5m_30m_1h,long
1,2021-04-16 22:40:00,2021-04-16 22:45:00,34243.2,34218.985714285714,sl,-342.097937005196,1,A_5m_30m_1h,long
1,2021-04-19 06:15:00,2021-04-19 06:45:00,34102.2,34090.25357142857,sl,-338.67695763514405,6,A_5m_30m_1h,long
1,2021-04-19 08:05:00,2021-04-19 08:05:00,34112.2,34102.71785714285,sl,-335.29018805879264,0,A_5m_30m_1h,long
1,2021-04-19 08:40:00,2021-04-19 09:00:00,34096.7,34083.25357142857,sl,-331.93728617820466,4,A_5m_30m_1h,long
1,2021-04-19 10:00:00,2021-04-19 10:05:00,34084.2,34110.360714285714,tp,547.6965221941392,1,A_5m_30m_1h,long
1,2021-04-19 11:45:00,2021-04-19 12:05:00,34132.2,34113.66428571428,sl,-334.09487853836407,4,A_5m_30m_1h,long
1,2021-04-19 13:55:00,2021-04-19 15:45:00,34109.7,34137.28928571428,tp,551.2565495882037,22,A_5m_30m_1h,long
1,2021-04-19 16:25:00,2021-04-19 16:25:00,34137.7,34118.62857142857,sl,-336.26649524886244,0,A_5m_30m_1h,long
